"AppID","AppName","Publisher"
"FreeCAD.FreeCAD","FreeCAD","FreeCAD Team"
"RedHat.Podman","Podman","Red Hat Inc."
"Pinta.Pinta","Pinta","Pinta Community"
"Anydo.Anydo","Anydo","Any.do"
"JetBrains.Space","JetBrains Space","JetBrains s.r.o."
"Drovio.Drovio","Drovio","Drovio"
"Iterate.MountainDuck","Mountain Duck","iterate GmbH"
"Lenovo.MigrationAssistant","Lenovo Migration Assistant","Lenovo"
"Plex.Plex","Plex","Plex, Inc."
"Swift.Toolchain","Swift","swift.org"
"Alacritty.Alacritty","Alacritty","Alacritty"
"Audient.EVO","EVO","Audient"
"Audient.Sono","Sono","Audient"
"Apple.iTunes","iTunes","Apple Inc."
"Devolutions.RemoteDesktopManager","Remote Desktop Manager","Devolutions inc."
"Microsoft.VisualStudioCode","Microsoft Visual Studio Code (User Install)","Microsoft Corporation"
"Microsoft.Edge","Microsoft Edge","Microsoft Corporation"
"Microsoft.Edge.Dev","Microsoft Edge Dev","Microsoft Corporation"
"Microsoft.Edge.Beta","Microsoft Edge Beta","Microsoft Corporation"
"BandicamCompany.Bandicam","Bandicam","Bandicam.com"
"Tableau.Desktop","Tableau","Tableau Software, LLC"
"Zoom.ZoomOutlookPlugin","Zoom Outlook Plugin","Zoom"
"MyPaint.MyPaint","MyPaint","Martin Renold and the MyPaint Development Team"
"Wiris.MathType7","MathType 7","WIRIS"
"Microsoft.DotNet.SDK.7","Microsoft .NET SDK 7.0","Microsoft Corporation"
"Foxit.PhantomPDF","Foxit PDF Editor","Foxit Software Inc."
"Microsoft.ROpen","Microsoft R Open","Microsoft"
"Insomnia.Insomnia","Insomnia","Kong"
"Anaconda.Miniconda3","Miniconda3","Anaconda, Inc."
"OSGeo.QGIS","QGIS","QGIS.org"
"OSGeo.QGIS_LTR","QGIS LTR","QGIS Development Team"
"nomacs.nomacs","nomacs - Image Lounge","TU Wien"
"Google.Chrome.Beta","Google Chrome Beta","Google LLC"
"Google.Chrome.Canary","Google Chrome Canary","Google LLC"
"OpenShot.OpenShot","OpenShot Video Editor","OpenShot Studios, LLC"
"GlavSoft.TightVNC","TightVNC","GlavSoft LLC."
"SanfordLP.DYMOLabel","DYMO Label","Sanford L.P."
"DisplayLink.GraphicsDriver","DisplayLink Graphics","DisplayLink Corp."
"AntibodySoftware.WizTree","WizTree","Antibody Software"
"Microsoft.SQLServerManagementStudio","Microsoft SQL Server Management Studio","Microsoft Corporation"
"ShareX.ShareX","ShareX","ShareX Team"
"OpenVPNTechnologies.OpenVPNConnect","OpenVPN Connect","OpenVPN Technologies"
"GitExtensionsTeam.GitExtensions","Git Extensions","Git Extensions Team"
"GitHub.GitLFS","Git LFS","GitHub, Inc."
"Intel.IntelDriverAndSupportAssistant","Intel  Driver & Support Assistant","Intel"
"Dropbox.Dropbox","Dropbox","Dropbox, Inc."
"Microsoft.SQLServer.2019.Express","Microsoft SQL Server 2019 Express","Microsoft"
"Microsoft.SQLServer.2019.Developer","Microsoft SQL Server 2019 Developer","Microsoft"
"PremiumSoft.NavicatPremium","PremiumSoft Navicat Premium","PremiumSoft CyberTech Ltd."
"HP.HPCMSL","HP Client Management Script Library","HP Development Company, L.P."
"Amazon.WorkspacesClient","Amazon WorkSpaces","Amazon Web Services, Inc"
"Fortinet.FortiClientVPN","FortiClient VPN","Fortinet Technologies Inc"
"SparkLabs.Viscosity","Viscosity","SparkLabs"
"Bluebeam.Revu.21","Bluebeam Revu 21","Bluebeam, Inc."
"Rufus.Rufus","Rufus","pbatard"
"Yubico.YubikeyManager","YubiKey Manager","Yubico AB"
"Grammarly.Grammarly","Grammarly for Windows","Grammarly Inc."
"Cloudflare.Warp","Cloudflare WARP","Cloudflare, Inc."
