"AppID","AppName","Publisher"
"Bitvise.SSH.Client","Bitvise SSH Client","Bitvise Limited"
"Eugeny.Tabby","Tabby","Eugene Pankov"
"Microsoft.PowerBI","Microsoft PowerBI Desktop","Microsoft Corporation"
"TeamViewer.TeamViewer.Host","TeamViewer Host (MSI)","TeamViewer"
"VideoLAN.VLC","VLC media player (MSI 32-Bit)","VideoLAN"
"VideoLAN.VLC","VLC media player (MSI 64-Bit)","VideoLAN"
"Yealink.YealinkUSBConnect","Yealink USB Connect","Yealink"
"VideoLAN.VLC","VLC media player (EXE 64-Bit)","VideoLAN"
"VideoLAN.VLC","VLC media player (EXE 32-Bit)","VideoLAN"
"CatoNetworks.CatoClient","Cato Client","Cato Networks"
"TrackerSoftware.PDF-XChangeEditor","PDF-XChange Editor","Tracker Software Products (Canada) Ltd."
"NordSecurity.NordPass","NordPass","NordPass Team"
"NextDNS.NextDNS.Desktop","NextDNS","NextDNS"
"Meld.Meld","Meld","Kai Willadsen"
"Krisp.Krisp","Krisp","Krisp Technologies, Inc."
"Microsoft.VisualStudio.2019.Enterprise","Visual Studio Enterprise 2019","Microsoft Corporation"
"GnuPG.Gpg4win","Gpg4win","The Gpg4win Project"
"Caphyon.AdvancedInstaller","Advanced Installer","Caphyon"
"Samsung.EasyConnectionToScreen","Easy Connection to Screen","Samsung"
